iter	Passed	Remaining
345	611	1156
346	613	1153
347	614	1150
348	615	1147
349	616	1144
350	617	1141
351	618	1138
352	620	1136
353	621	1134
354	623	1132
355	624	1129
356	625	1126
357	626	1124
358	628	1121
359	629	1119
360	631	1117
361	632	1115
362	634	1113
363	636	1111
364	637	1109
365	638	1106
366	640	1104
367	641	1101
368	642	1099
369	647	1102
370	649	1100
371	650	1098
372	652	1097
373	653	1094
374	655	1091
375	656	1089
376	657	1087
377	659	1084
378	660	1081
379	661	1078
380	662	1076
381	664	1075
382	666	1073
383	667	1071
384	669	1068
385	670	1066
386	671	1064
387	673	1061
388	674	1059
389	675	1057
390	676	1054
391	678	1052
392	679	1050
393	681	1048
394	683	1046
395	684	1043
396	685	1041
397	687	1039
398	688	1037
399	689	1034
400	690	1031
401	692	1030
402	695	1030
403	697	1028
404	698	1026
405	699	1023
406	700	1021
407	702	1019
408	703	1016
409	704	1013
410	705	1011
411	707	1009
412	708	1007
413	710	1005
414	711	1003
415	713	1001
416	714	998
417	716	996
418	717	994
419	718	992
420	719	989
421	721	988
422	723	986
423	725	985
424	726	982
425	727	980
426	729	978
427	730	976
428	732	974
429	733	972
430	735	970
431	736	968
432	738	967
433	740	966
434	742	964
435	743	962
436	745	960
437	746	958
438	748	956
439	750	954
440	751	952
441	753	951
442	755	949
443	756	947
444	757	945
445	759	943
446	760	941
447	761	938
448	762	936
449	764	934
450	765	932
451	767	930
452	768	928
453	770	926
454	771	923
455	772	921
456	773	919
457	775	917
458	776	914
459	777	912
460	778	910
461	780	908
462	781	906
463	783	905
464	784	902
465	786	900
466	787	898
467	788	896
468	789	894
469	790	891
470	792	889
471	793	887
472	794	885
473	796	883
474	797	881
475	798	879
476	799	877
477	801	875
478	803	873
479	804	871
480	805	869
481	806	867
482	808	865
483	810	864
484	812	862
485	813	860
486	814	858
487	815	856
488	817	854
489	818	851
490	819	849
491	821	847
492	823	847
493	825	845
494	827	844
495	829	842
496	830	840
497	832	838
498	833	836
499	834	834
500	837	833
501	839	832
502	840	830
503	842	829
504	844	827
505	845	825
506	846	823
507	848	821
508	849	819
509	851	817
510	853	816
511	854	814
512	856	813
513	857	810
514	859	809
515	860	807
516	861	805
517	863	803
518	864	801
519	866	799
520	868	798
521	870	796
522	871	794
523	872	792
524	874	791
525	875	788
526	876	786
527	877	784
528	879	782
529	880	780
530	881	778
531	883	776
532	884	775
533	886	773
534	887	771
535	889	769
536	890	767
537	891	765
538	892	763
539	893	761
540	896	760
541	898	758
542	899	756
543	900	754
544	901	752
545	902	750
546	903	748
547	905	746
548	906	744
549	907	742
550	909	740
551	910	739
552	912	737
553	914	735
554	915	733
555	916	731
556	917	729
557	918	727
558	919	725
559	920	723
560	922	721
561	923	719
562	925	718
563	926	716
564	928	714
565	929	712
566	930	710
567	931	708
568	933	706
569	934	704
570	935	702
571	937	701
572	938	699
573	940	697
574	941	696
575	943	694
576	944	692
577	946	690
578	947	688
579	948	687
580	951	685
581	952	684
582	954	683
583	956	681
584	958	680
585	960	678
586	961	676
587	963	675
588	965	673
589	968	673
590	970	671
591	972	670
592	973	668
593	975	666
594	976	664
595	978	663
596	980	661
597	982	660
598	984	658
599	985	657
600	987	655
601	988	653
602	990	651
603	991	650
604	992	648
605	994	646
606	996	645
607	998	643
608	999	641
609	1001	640
610	1002	638
611	1003	636
612	1005	634
613	1006	633
614	1008	631
615	1009	629
616	1011	627
617	1013	626
618	1015	624
619	1016	622
620	1019	622
621	1020	620
622	1022	618
623	1024	617
624	1025	615
625	1027	613
626	1029	612
627	1031	610
628	1032	609
629	1034	607
630	1035	605
631	1036	603
632	1038	601
633	1040	600
634	1041	598
635	1043	597
636	1045	595
637	1046	593
638	1048	592
639	1049	590
640	1050	588
641	1052	586
642	1053	585
643	1055	583
644	1057	582
645	1058	580
646	1060	578
647	1061	576
648	1062	574
649	1064	573
650	1065	571
651	1067	569
652	1069	568
653	1071	567
654	1073	565
655	1074	563
656	1076	561
657	1077	560
658	1079	558
659	1080	556
660	1081	554
661	1083	553
662	1084	551
663	1086	550
664	1088	548
665	1089	546
666	1091	544
667	1093	543
668	1102	545
669	1104	543
670	1106	542
671	1108	540
672	1109	539
673	1110	537
674	1111	535
675	1113	533
676	1115	532
677	1116	530
678	1118	528
679	1119	526
680	1121	525
681	1122	523
682	1123	521
683	1124	519
684	1125	517
685	1127	516
686	1130	514
687	1131	513
688	1132	511
689	1133	509
690	1135	507
691	1136	505
692	1137	504
693	1139	502
694	1140	500
695	1141	498
696	1143	497
697	1145	495
698	1146	493
699	1147	491
700	1148	489
701	1149	488
702	1151	486
703	1152	484
704	1153	482
705	1154	480
706	1155	479
707	1158	477
708	1159	476
709	1161	474
710	1162	472
711	1163	470
712	1165	469
713	1166	467
714	1167	465
715	1168	463
716	1170	462
717	1172	460
718	1174	458
719	1175	457
720	1177	455
721	1178	453
722	1180	452
723	1181	450
724	1182	448
725	1184	446
726	1186	445
727	1188	443
728	1189	442
729	1191	440
730	1192	438
731	1194	437
732	1195	435
733	1196	433
734	1197	431
735	1199	430
736	1201	428
737	1202	426
738	1204	425
739	1205	423
740	1207	421
741	1208	420
742	1209	418
743	1210	416
744	1212	414
745	1213	413
746	1216	411
747	1217	410
748	1219	408
749	1220	406
750	1221	405
751	1223	403
752	1224	401
753	1226	400
754	1227	398
755	1229	396
756	1231	395
757	1232	393
758	1234	391
759	1235	390
760	1237	388
761	1238	386
762	1239	385
763	1240	383
764	1241	381
765	1243	379
766	1245	378
767	1246	376
768	1247	374
769	1248	373
770	1250	371
771	1251	369
772	1252	367
773	1253	366
774	1254	364
775	1256	362
776	1257	360
777	1259	359
778	1260	357
779	1262	355
780	1263	354
781	1264	352
782	1265	350
783	1266	349
784	1268	347
785	1269	345
786	1270	343
787	1272	342
788	1274	340
789	1275	339
790	1276	337
791	1277	335
792	1279	333
793	1280	332
794	1281	330
795	1282	328
796	1284	327
797	1285	325
798	1287	323
799	1288	322
800	1290	320
801	1291	318
802	1292	317
803	1294	315
804	1295	313
805	1296	312
806	1297	310
807	1298	308
808	1300	307
809	1302	305
810	1304	303
811	1305	302
812	1306	300
813	1308	298
814	1309	297
815	1310	295
816	1311	293
817	1312	292
818	1313	290
819	1315	288
820	1317	287
821	1318	285
822	1319	283
823	1321	282
824	1322	280
825	1323	278
826	1324	277
827	1325	275
828	1327	273
829	1328	272
830	1329	270
831	1331	268
832	1332	267
833	1333	265
834	1335	263
835	1336	262
836	1337	260
837	1338	258
838	1339	257
839	1340	255
840	1341	253
841	1342	251
842	1344	250
843	1345	248
844	1347	247
845	1348	245
846	1349	243
847	1350	242
848	1352	240
849	1353	238
850	1354	237
851	1355	235
852	1356	233
853	1357	232
854	1359	230
855	1361	229
856	1362	227
857	1363	225
858	1364	224
859	1365	222
860	1367	220
861	1368	219
862	1369	217
863	1370	215
864	1371	214
865	1372	212
866	1374	210
867	1376	209
868	1377	207
869	1378	205
870	1379	204
871	1380	202
872	1382	201
873	1383	199
874	1384	197
875	1385	196
876	1386	194
877	1388	192
878	1390	191
879	1391	189
880	1393	188
881	1394	186
882	1395	184
883	1397	183
884	1398	181
885	1399	180
886	1400	178
887	1401	176
888	1403	175
889	1404	173
890	1406	172
891	1407	170
892	1408	168
893	1409	167
894	1410	165
895	1412	163
896	1413	162
897	1414	160
898	1415	159
899	1416	157
900	1418	155
901	1420	154
902	1421	152
903	1422	151
904	1423	149
905	1424	147
906	1425	146
907	1426	144
908	1427	142
909	1429	141
910	1430	139
911	1431	138
912	1433	136
913	1434	134
914	1435	133
915	1436	131
916	1437	130
917	1438	128
918	1440	126
919	1441	125
920	1442	123
921	1443	122
922	1444	120
923	1445	118
924	1446	117
925	1448	115
926	1449	114
927	1451	112
928	1452	110
929	1453	109
930	1454	107
931	1456	106
932	1457	104
933	1459	103
934	1460	101
935	1462	99
936	1463	98
937	1465	96
938	1466	95
939	1467	93
940	1468	92
941	1470	90
942	1471	88
943	1473	87
944	1474	85
945	1475	84
946	1477	82
947	1479	81
948	1480	79
949	1482	78
950	1483	76
951	1484	74
952	1486	73
953	1487	71
954	1488	70
955	1489	68
956	1491	67
957	1493	65
958	1494	63
959	1496	62
960	1497	60
961	1498	59
962	1499	57
963	1501	56
964	1502	54
965	1503	52
966	1505	51
967	1507	49
968	1509	48
969	1510	46
970	1511	45
971	1513	43
972	1514	42
973	1515	40
974	1517	38
975	1518	37
976	1520	35
977	1522	34
978	1523	32
979	1524	31
980	1526	29
981	1527	27
982	1528	26
983	1530	24
984	1531	23
985	1533	21
986	1534	20
987	1536	18
988	1537	17
989	1539	15
990	1540	13
991	1541	12
992	1543	10
993	1544	9
994	1545	7
995	1547	6
996	1549	4
997	1550	3
998	1552	1
999	1554	0
